Epoch,Loss_D,Loss_G,Time
1,1.4444093704223633,0.6793298721313477,2025-09-30 20:04:33
2,1.418156623840332,0.7077763080596924,2025-09-30 20:04:47
3,1.408024787902832,0.6365880370140076,2025-09-30 20:05:02
4,1.3974807262420654,0.6866980195045471,2025-09-30 20:05:17
5,1.3923873901367188,0.7126482129096985,2025-09-30 20:05:32
6,1.3935256004333496,0.7153970003128052,2025-09-30 20:05:47
7,1.3923344612121582,0.7132647037506104,2025-09-30 20:06:02
8,1.3911199569702148,0.6699622273445129,2025-09-30 20:06:17
9,1.3887200355529785,0.677586555480957,2025-09-30 20:06:32
10,1.392526626586914,0.6769149303436279,2025-09-30 20:06:47
11,1.387892246246338,0.6919925212860107,2025-09-30 20:07:01
12,1.3878519535064697,0.7037262916564941,2025-09-30 20:07:16
13,1.391331434249878,0.6444809436798096,2025-09-30 20:07:31
14,1.3883488178253174,0.6860424876213074,2025-09-30 20:07:46
15,1.39064359664917,0.6321389675140381,2025-09-30 20:08:01
16,1.3878049850463867,0.6900797486305237,2025-09-30 20:08:16
17,1.3872487545013428,0.7001858949661255,2025-09-30 20:08:30
18,1.388799786567688,0.7094101309776306,2025-09-30 20:08:45
19,1.3889265060424805,0.7451121211051941,2025-09-30 20:09:00
20,1.4194183349609375,0.5892731547355652,2025-09-30 20:09:14
21,1.3983371257781982,0.6461610794067383,2025-09-30 20:09:29
22,1.3877840042114258,0.7255429029464722,2025-09-30 20:09:43
23,1.386952519416809,0.6985854506492615,2025-09-30 20:09:58
24,1.3873176574707031,0.6757578253746033,2025-09-30 20:10:13
25,1.3866236209869385,0.688530683517456,2025-09-30 20:10:27
26,1.38899564743042,0.7299742698669434,2025-09-30 20:10:42
27,1.3876569271087646,0.7012778520584106,2025-09-30 20:10:56
28,1.3871612548828125,0.6776291728019714,2025-09-30 20:11:11
29,1.3865044116973877,0.6999309659004211,2025-09-30 20:11:25
30,1.386730670928955,0.689532995223999,2025-09-30 20:11:40
31,1.3864638805389404,0.6859912872314453,2025-09-30 20:11:55
32,1.3864563703536987,0.6989555954933167,2025-09-30 20:12:09
33,1.3867402076721191,0.696562647819519,2025-09-30 20:12:25
34,1.3864994049072266,0.6819422841072083,2025-09-30 20:12:40
35,1.4024492502212524,0.8080099821090698,2025-09-30 20:13:02
36,1.3933689594268799,0.78318852186203,2025-09-30 20:13:19
37,1.3863754272460938,0.6910563707351685,2025-09-30 20:13:35
38,1.38686203956604,0.7347508668899536,2025-09-30 20:13:51
39,1.3864123821258545,0.6962012648582458,2025-09-30 20:14:07
40,1.3879687786102295,0.7404462099075317,2025-09-30 20:14:23
41,1.388663649559021,0.6466314196586609,2025-09-30 20:14:38
42,1.3863158226013184,0.69316565990448,2025-09-30 20:14:54
43,1.3863874673843384,0.7006104588508606,2025-09-30 20:15:09
44,1.386340618133545,0.6896621584892273,2025-09-30 20:15:25
45,1.386343240737915,0.6880152821540833,2025-09-30 20:15:40
46,1.386348009109497,0.6891835331916809,2025-09-30 20:15:56
47,1.3870893716812134,0.6978793144226074,2025-09-30 20:16:11
48,1.3863197565078735,0.6900255680084229,2025-09-30 20:16:26
49,1.3863470554351807,0.6861603856086731,2025-09-30 20:16:43
50,1.3863452672958374,0.6911612153053284,2025-09-30 20:16:57
51,1.386405110359192,0.6943039894104004,2025-09-30 20:17:12
52,1.3863282203674316,0.6906470060348511,2025-09-30 20:17:27
53,1.3884398937225342,0.7205759882926941,2025-09-30 20:17:41
54,1.3869082927703857,0.6564580202102661,2025-09-30 20:17:56
55,1.386368989944458,0.698852002620697,2025-09-30 20:18:11
56,1.3877861499786377,0.7023469805717468,2025-09-30 20:18:25
57,1.3863061666488647,0.6887967586517334,2025-09-30 20:18:40
58,1.3863296508789062,0.6872990727424622,2025-09-30 20:18:55
59,1.3863861560821533,0.6949963569641113,2025-09-30 20:19:10
60,1.3863028287887573,0.6791265606880188,2025-09-30 20:19:25
61,1.386362075805664,0.7014222741127014,2025-09-30 20:19:40
62,1.386291742324829,0.6902216076850891,2025-09-30 20:19:54
63,1.3863263130187988,0.6955021023750305,2025-09-30 20:20:09
64,1.3916741609573364,0.7512511610984802,2025-09-30 20:20:24
65,1.3863805532455444,0.689895749092102,2025-09-30 20:20:38
66,1.386358618736267,0.6925535798072815,2025-09-30 20:20:53
67,1.386373519897461,0.6935780644416809,2025-09-30 20:21:08
68,1.3862097263336182,0.6946700811386108,2025-09-30 20:21:22
69,1.3863295316696167,0.6936758756637573,2025-09-30 20:21:37
70,1.3863545656204224,0.695320188999176,2025-09-30 20:21:51
71,1.3862673044204712,0.6949608325958252,2025-09-30 20:22:06
72,1.3862807750701904,0.6949771642684937,2025-09-30 20:22:21
73,1.3863043785095215,0.6921188235282898,2025-09-30 20:22:35
74,1.3863531351089478,0.6876400709152222,2025-09-30 20:22:50
75,1.3863931894302368,0.6973090767860413,2025-09-30 20:23:04
76,1.387136459350586,0.7127712368965149,2025-09-30 20:23:19
77,1.3864943981170654,0.7055954337120056,2025-09-30 20:23:33
78,1.3863654136657715,0.6885684728622437,2025-09-30 20:23:48
79,1.3873257637023926,0.7203454971313477,2025-09-30 20:24:03
80,1.386591911315918,0.6944034695625305,2025-09-30 20:24:17
81,1.3865092992782593,0.6913275718688965,2025-09-30 20:24:32
82,1.386389136314392,0.6863473057746887,2025-09-30 20:24:47
83,1.3862847089767456,0.698071300983429,2025-09-30 20:25:01
84,1.3864257335662842,0.6980598568916321,2025-09-30 20:25:16
85,1.3875980377197266,0.6527276635169983,2025-09-30 20:25:31
